,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Consensus
433,72.92,18.697435,0.026500002,3.9,69.03,82.89,35674652672.0,4410999808.0,0.4475668,19.280804,Buy
434,232.97,26.564423,0.0159,8.77,158.84,248.15,266652794880.0,30663999488.0,3.33291,4.222919,Buy
435,116.92,12.806133,0.0428,9.13,100.49,125.81,25974831104.0,2648399872.0,3.7584221,2.5341368,Hold
436,185.51,96.66641940000001,0.013160000199999999,-21.21,135.24,192.14,32580564992.0,165600000.0,5.970417,5.614709,Buy
437,72.94,21.142029,0.0184,3.45,35.23,75.78,16997646336.0,1439500032.0,2.5500932,5.699328,Buy
438,196.8,35.652176,0.0146,5.52,84.33,218.51,42914799616.0,4021700096.0,2.6464968,16.69353,Buy
439,137.91,14.640127,0.0287,9.42,120.21,181.86,63192018944.0,9230999552.0,0.5889284,4.740153,Buy
440,147.97,23.339117,0.0175,6.34,137.61,159.98,44147294208.0,3761999872.0,2.7861972,3.5919409,Buy
441,511.33,29.676727,0.015900000180000002,17.23,355.41,522.5,23829153792.0,1346000000.0,4.2607603,2.4848745,Buy
442,180.24,35.69109,0.0074,5.05,171.69,256.85,8371012608.0,644953984.0,2.7665234,1.8678302,Buy
443,115.79,34.981873,0.0039,3.31,93.87,163.21,18857674752.0,640716992.0,6.8884096,6.5010386,Buy
444,404.6,196.40778,0.010420000000000002,2.06,138.8,488.54,1301403926528.0,13244000256.0,13.39582,18.554527,Hold
445,184.61,35.43378,0.0271,5.21,155.46,220.39,168404385792.0,6896999936.0,10.718884,9.750185,Hold
446,76.51,17.669746,0.001,4.33,74.89,97.34,14193523712.0,1644999936.0,1.015201,2.0418458,Buy
447,597.75,36.227272,0.0027,16.5,493.3,627.88,228639375360.0,10581999616.0,5.3962564,4.666859,Buy
448,124.79,29.431606,0.0125,4.24,92.35,128.0,140283920384.0,7125000192.0,2.5220487,19.371313,Buy
449,54.36,26.64706,0.0154,2.04,45.304,61.528,29038841856.0,1913799040.0,1.9661303,2.539475,Buy
450,362.75,32.244446,0.0092,11.25,265.37,422.0,82430582784.0,3691200000.0,4.2515635,10.760902,Buy
451,1353.34,52.74123,0.0139,25.66,1100.86,1451.32,75841175552.0,3888000000.0,9.551785,9.71227164,Buy
452,245.18,11.419656,0.0176,21.47,200.21,269.56,55557787648.0,6719000064.0,1.2253052,2.0095239,Hold
453,74.96,12.535117,0.02228,5.98,48.65,77.78,18424567808.0,737699968.0,5.0724244,3.1336484,Buy
454,47.62,28.987651399999997,0.0462,-0.3,34.23,49.06,63191261184.0,6499339929.6,4.3589196,1.071051,Buy
455,601.64,110.39267,0.01379999998,5.45,397.8,638.56,25749350400.0,368943008.0,12.39376,7.8598495,Buy
456,56.49,25.106667,0.0352,2.25,51.16,66.88,20120213504.0,3144000000.0,0.37742618,1.0930305,Hold
